Asia-Afrika	아시아-아프리카
aktualitas	적시의, 때에 알맞은, 때맞춘
aktuil	근래의, 최근의, 새로운
aku	저, 나, 자신
akuan yang kedua	또 다른 나, 둘도 없는 친구
beraku	회화에서 자신을 (저·나)로 하다
harimau akuan	종이 호랑이
keakuan	이기주의, 에고이즘
mengaku	자인하다, 고백하다, 주장하다
mengakui	자인하다, 고백하다, 주장하다
mengakukan	승인하게 되다
pengakuan, akuan	고백, 실토, 자백, 자인, 참회, 고해
akuaduk	도수관(導水管), 수도
akuan	고백, 실토, 자백, 자인
akuarel	수채화, 수채화법
akuarium	수족관
akuisme	자기 중심의, 이기적인
akultuasi	[사회학] 문화 변용(變容)
akumulasi	집적, 축적, 누적
akumulatif	돈을 모으고 싶어하는, 이식(利殖)을 좋아하는
akuntan, akuntansi	공인회계사, 계리사
akupungtur	침술(鍼術), 침 치료
akur, akor	일치하다, 동의하다
keakuran	조화, 화해, 화평
mengakuri	~에(의견이) 일치하다
mengakurkan	화해시키다
pengakuran	조화, 일치, 화합, 평준화
akurat	정확한, 정밀한, 빈틈 없는, 신중한
akustik	음향학, (극장 따위의) 음향 효과[상태], 음질
akustis	청각의, 청신경의, 가청음의, 음파의
akut	위험한, 날카로운, 비평적인
pengakutan	비평(批評)
penyakit akut	급성질환
pembicaraan, akwal	말, 낱말,이야기, 한 마디 말, 짧은 담화
al (antara lain)	~가운데, 특히
al-Masih	메시아(유대 사람이 대망(待望)하는 구세주)
AL (Angkatan Laut)	해군
ala	~에 대하여, ~의, 높은, 고귀한
ala barat	서구(西歐)의
alah, kalah	지다, 패배하다, 굴복하다
beralah	지기(양보)하기를 좋아하다
beralahan	승부 없이 끝나다
mengalah	양보하다
	(나는 그가 불쌍히 여겨져서 양보했다)
mengalahkan	패배시키다, 쳐부수다
kealahan	실패, 패배, 잃음, 분실
pengalahan	정복, 승리
peralahan	정복
alaihi	~위에, ~에게
alalbahalal, alalbihalal	서로 용서하다(르바단 끝나는 날에)
alam [1], alamiah	세계, 우주, 자연, 천연
alam arwah	정신세계
alam baka	영원, 내세
alam fana	속세
alam malakut	영적 세계
alam pikiran	사상계
alam sekeliling	환경, 주위의 생태, 자연, 천연
alam semesta, sekalian alam	우주, 만유(萬有), 만물, 삼라 만상
ayah alam	전세계의 통치자
ilmu alam	자연과학
kater alam	천연고무
kealaman	자연, 형태, 성격, 특성
sealam	자연 형태가 같은
Irian Jaya sealam dengan Australia	이리안자야는 호주와 같은 형태의 자연을 갖고있다
alam [2], menfalami	경험하다
berpengalaman	경험이 있는, 경험을 쌓은
mengalami, rasakan sendiri	~을 경험하다, ~을 겪다
pengalaman	경험, 체험
alam [3]	전지(全知)의
wallahu alam	모든 것은 신 만이 알고 있다
alamat	주소, 목적, 표시, 징후, 제목
beralamat	주소를 갖다
Surat itu tidak beralamat	이 편지는 주소가 없다
mengalamtkan	주소를 쓰다, 예고하다
alami	자연의, 자연계의, 자연계에 관한, 천연의
alami(y)ah	자연적인, 자연에 관한
alan-alan	광대, 익살꾼
alang [1]	대각선의, 가로의, 열 십자로
alang-alang, alangan	장애물, 방해물
beralangan	방해하다, 훼방 놓다
ditumbuhi alang-alang	장애물이 나타나다
mengalang	괴롭히다, 막다
mengalang-alangi	가로막다
mengalangI	~을 방해하다
pengalang	방해
teralang	방해 받는, 침체된
alang [2]	보통의, 평범한
alangkah, bagusnya	멋지군!, 와, 어쩜!
alang [3]	선물
alang [4], alang-alang, lalang	(식물) 들띠, (갈·짚) 풀, 갈대, 싸리
pagar alang-alang	싸리 울, 싸리 담장
alap [1], mengalap	(과일 따위를) 수확하다
alap [2], alap-alap	새매, 연
alap [3], alap-alap, pencuri	도둑, 소매치기
pengalap	유괴자
pengalapan	유괴하다
alap [4], bagus, elok	멋진, 아름다운
alam	경보, 비상 신호[소집], 놀람
alas	안 받침, 안(감), 기초, 토대
alasan	이유, 동기, 기초, 기본
beralasan	근거를 둔, 튼튼한
mengalasi	덮다, 깔다
memberi alasan	이유를 주다
mengalaskan	받침을 놓다 ~에 근거를 두다
pengalas	기초, 기부(基部), 근거, 근본 원리
penyebab slasan	꼬투리, 빌미
tak beralasan, tak berdasar	근거 없는, 사실 무근의
alat [1]	도구, 용구, 수단
alat ekstra	부속물, 부속품, 액세서리
alat kecantikan	화장품
alat kelamin	생식기, 성기
alat pelengkap	붙이는 기구
alat pemadam kebakaran	소화기(消火器)
alat pemanas	열기, 가열기, 히터, 난방 장치
alat pemenggal kepala	단두대, (종이 등의) 재단기
alat pencegah kehamilan	피임약, 피임 용구
alat penderek	기중기
alat pengampelas	연마제, 연마 용구
alat pengatur panas	서모스탯, 온도 조절 장치
alat pengeras suara	메가폰, 확성기
alat penghubung	커플링, 연결기
alat pengukur sudut	각도 측정기
alat pengukur tinggi	고도계
alat peniup	송풍기[장치], 헤어 드라이어
alat penyuram	제광(制光) 장치, 조광기(調光器)
alat perkakas	계기(計器), 기계(器械), 기구(器具), 도구
alat perlengkapan	장치, 설비
alat potret	카메라, 사진기
alat-alat memasak	조리기구, 조리도구
alat-alat saluran kencing	비뇨기(泌尿器)
memperalat	(기계 등을) 능숙하게 다루다
peralatan	장비, 설비, 비품
alat [2]	손님
album	앨범, 사진첩
alegori	우의(寓意), 풍유(諷喩), 비유
alegoris	우의(寓意)의, 우화(寓話)적(인), 풍유(諷喩)의
alem, (me)ngalem	아첨하다, 해치다, 망쳐놓다
aleman	아첨, 망침
anak aleman	버릇 없는 아이, 못된 아이
alergi	알레르기
alesduk	스카프, 목도리
alexandri	알렉산더석(石), 금록석의 일종, 6월의 탄생석
alfabet [alfabét]	알파벳, 초보
algojo	사형 집행인, 집행자, 깡패, 잔인한 사람
alhamdulillah(i)	신께 감사 하나이다, 고마워라
alhasil	궁극적으로, 결국
algoritme	알고리듬, 연산(演算)(방식)
alhasil	최후에(는), 드디어, 결국(은), 언젠가는
ali, ali-ali	쇠뇌, 석궁, (장난감)새총
anak ali-ali	석궁으로 쏘는 돌
mengali-ali	투석기로 던지다, 석궁을 쏘다
pengali-ali	투석기, 석궁을 쏘는 사람
aliansi	동맹, 맹약(盟約), 협력, 제휴, 협조
alias	별명, 일명, 통칭
Ali alias Samin	알리의 일명은 사민
alibi	알리바이, 현장 부재 증명
alif [1]	아랍 문자의 첫 번째 문자
alifan	아랍문자
alif [2], teman	친구
alih	이전하다, 바꾸다, (자리를)옮기다
alih bahasa	번역, 통역, 번역문, 번역서
alih-alih(kan)	~은 말할 것도 없고, 고사하고
angin beralih	방향이 바뀌다
beralih	옮기다, 바꾸다
beralih akal	생각을 바꾸다
beralih kepada acara yang baru	새로운 계획으로 바꾸다
beralih laku	행동을 바꾸다
beralih pikiran	사고를 바꾸다
beralih rumah	(집을) 이사하다
bintang beralih	유성
jaman beralih	시대 변천
mengalihkan	바꾸다, 옮기다, 변경시키다
mengambil alih	대신 들어서다, 떠맡다, 채택하다
pengalihan	딴 데로 돌림, 전환, (자금의) 유용
peralihan	이동, 이전, 운반
teralih	(고의가 아니게)옯겨지다
alihbasa, terjemah	번역
alik, berulang alik	왕복, 이리저리
alim	학식 있는, 현명한, 신앙심 있는
alim utana	(이슬람) 종교학자
kealiman	경건, 경신, 신앙심, 학문, 학식
alimentasi	별거 수당(보통 남편이 아내에게 주는), 이혼 수당, 생활비, 부양비alimony
alin, mengalin	마사지하다(독 따위가 나오게 하기 위하여)
alinea [alinéa], paragraf	패러그라프, 절(節)
aling, aling-aling(an)	보호하는, 은폐, 은신처
aling-alingan	숨바꼭질
mengalingi	보호하다, 비호하다
mengalingkan	숨기다, 감추다
alir [1], mengalir	흐르다, 흘러나오다, 넘쳐 흐른다
Sungai mengalir di belakang kota itu	강은 그 도시 뒤에서 흐르고 있다
Air matanya mengalir	그의눈물이 흘러 내렸다
Ribuan orang mengalir ke tanah lapang	수천명의 사람들이 광장으로 모여들었다
aliran	흐름, 순환, 경향, 동향, 학파
aliran darah	혈액순환
aliran gereja, denominasi	교파
aliran hawa	기류
aliran hilir	강의 하류
aliran hulu	강의 상류
aliran masyarakat	사회풍조
aliran zaman	시대변천(흐름)
beraliran	경향을 띠다
Perkumpulan itu beraliran radikal	그 단체는 급진적인 경향을 띠고 있다
ingus mengalir(meler)	콧물이 흐르다
mengaliri	~로 흐르다
Sungai Barito mengaliri kota Banjarmasin	바리또강은 반자르마신 시내를 가로 질러 흐른다
mengalirkan	수로를 트다, 물을 흐르게 하다, 지향하다
Perancis sekarang mengalirkan politiknya?	현재 프랑스가 정치적으로 지향하는 바가 무엇입니까?
pengaliran	흐름, 순환, 경향, 도관
Menahan pengaliran uang kita ke luar negeri	우리 돈의 외국 유출을 막는다
alir [2], tali alir, umpan tali	주낙(긴 낚싯줄에 여러 개의 낚시를 달아 사용)
menahan alir	주낙을 장치하다
mengalirkan	주낙으로 고기를 잡다
alias	별명, 일명
alit [1], alis, bulu dahi	눈썹
Alisnya bagai bentuk taji	눈썹이 쇠발톱 형상과도 같다-눈썹이 예쁨
mengalit	눈썹을 (검게)그리다
alit [2], tali alitan	줄, 끈
alit [3], kecil	작은
aljabar, limu hitung	대수학(代數學)
Aljariah, Aljazair, Aljir	알제리(북아프리카의 한 공화국, 수도
alkali	알칼리
alisah, alkissah	이야기, 설화, 실화, 동화, (단편)소설, (신문의) 기사the
Alkitab, Kitab Suci	성경
ayat Alkitab	성경구절
bacaan Alkitab	성경봉독
hafalan Alkitab	성경암송
Alkitabiah	성경의, 성경에서 인용한, 성경에 관한
alkohol	알코올, 주류(酒類)
alku [1]	갈봇집 주인, 포주, 뚜쟁이, 유객꾼
alku [2]	획득하다, (필수품을) 조달하다
alkuran, alquran	코란 (회교 경전)
alkus	[천문학] 궁수(弓手)자리, 인마궁
all round	재주가 많은, 다예(多藝)한, 다능의, 융통성 있는,
all-in	완전한, 완벽한, 흠잡을 데 없는, 완비된, 전부의
Allah	하나님, 신
kehendak Allah	하나님의 뜻
insya Allah	신의 뜻이라면
ke-Allahan	신격, 신성한
allamah	학문[학식]이 높은, 박학한[박식한]
para guru yang allamah	박식한 선생들
almahdi	메시아(유대 사람이 대망(待望)하는 구세주
almalun	저주받은, 영겁의 벌을 받은, 지옥에 떨어진
almanak, kalender, almenak	달력, 캘린더
almari	양복장, 옷장
almarhum, almarhumah	고(故), 고인(故人)
almarhum presiden Kenedy	고 케네디 대통령
almarhumah	고(故)~ (여자에게 쓰임)
almari, lemari	찬장, 옷장, 양복장
Almasih, Isa Almasih	구세주, 메시아, 그리스도
almenak, almanak	캘린더, 달력
alofon	이음(異音)(동일한 음소(音素)에 속하는 다른 음)
alokasi, jatah	할당, 배당, 배급, 배치
mengalokasikan	할당하다, 배분하다, ~의 위치를 정하다
pengalokasian	~의 위치를 정하다, 정치(定置)하다
alokir	할당하다, 배분하다
alomorf	[광물] 이형 가상(異形假像)
alon-alon	(속도가) 느린, (시계가) 늦은
alot [1]	곤란한, 어려운, 힘 드는, 난해(難解)한, (사람이)
alot [2]	(고기 따위가)질긴, 단단한
alpa, lalai, khilaf	게으른, 부주의한, 무관심한
Ia alpa akan kewajibannya	그는 그의 의무에 무관심했다
kealpaan	태만, 등한, 불찰, 결점, 단점
Harap dimaafkan segala keapaan saya	저의모든 불찰을 용서해 주시기 바랍니다
mengalpakan	~을 무시하다, ~을 게을리하다
tealpa	부주의한, 게으른
alpaka	합금, 순도, (금,은의) 품위
alpokat Alpukat	아보카도(열대과일)
alpukah	(하고자 하는)의욕, 독창력
Al-Quran	코란 (회교 경전)
ALRI, Angkatan Laut Republik Indonesia	인도네시아공화국 해군
altar	제단, 제대(祭臺), (교회의) 성찬대
alternasi	교호, 교대, 교체, [수학] 교대 수열(數列), [전기
alternatif	하나를 택할 여지, 대안, 달리 택한 길
alto	[음악] 알토(의), 중고음(中高音)
altruis	애타[이타]주의자
altruisme	애타[이타]주의
altruistis	이타주의의, 애타적인
altur	[천문학] 황소자리(태생의 사람)
alu [1], antan, penumbuk	쌀 빻는 기계, 절굿대
alu [2]	받아 들이다, 환영하다
mengalu-alukan	받아 들이다, 형식적으로 환영하다
aluan, haluan	뱃머리
alum	시든, (색이) 바랜, 쇠퇴한
mengalum, menjadi layu	흐릿해 지다, 희미[아련]해지다
aluminium	[화학] 알루미늄(금속원소, 기호
alumni	함께한 사람들, (남자) 졸업생, 동창생, 교우
alun [1], alunan	물결, (파도의)굽이침, 부풀어 오름
alunan	머리결
beralun	물결 치다, 너울거리다
Dari tepi pantai kelihatan laut beralun	해변가로부터 바다가 물결치는 것이 보인다
beralun-alun	넘실거리다
Tanaman padi beralun-alun ditiup angin	벼는 논에서 바람결에 넘실 거린다
mengalun	파도 치다
Lautan Teduh mengalun	태평양이 파도친다
teralun	파도가 밀려오다
alun [2], alun-alun	(궁전 앞의)광장, 공터
alunan	[광물] 명반석(明礬石)
alur	개천, 도랑, 협곡, 운하, 경로
aluran air	작은 도랑
aluran	개천, 친족관계
Ia aluran kemanakan saya	그는 나의 먼 친적이다
mengalur-alur	도랑과 같은, 갈비뼈를 셀 수 있는
mengalur-alur dadanya	늑골이 드러나다 (매우 야위어서)
menurut aluran adat	적당한, 적합한
alus, halus	미묘한, 섬세한
am	일반적인, 평범한, 보통의
Ia seorang am	(그는 평범한 사람이다)
diamkan	공표된, 공식화된
ama, hama	작은 벌레, 해충, 식물의 병
ama tikus	페스트
berama	말라 죽다, 병에 걸리다
amah [1]	여성의, 여자의, 부인의, 여자다운, 암(컷,놈)의
amah [2]	사용인, 고용인, 부하, 봉사자
amal, amalan	행위, 행동, 선행, 자비, 자선
Ia suka berbuat amal	그는 착한 일 하기를 좋아한다
amat baik	좋은 행동
amat saleh	경건힌 행위
beramal	선하게 행동하다, 기도하다, 결혼하다
Ia beramal kepada Tuhan	그는 신에게 기도하였다
mengamalkan	실행하다, 적용하다, 선행하다
Ia mengamalkan ilmunya untuk masyarakat	그는 그의 지식을 사회를 위하여 이용했다
Ia mengamalkan hasratnya	그는 자기의의도한 바를 열심히 이행하였다
pengamalan	선행을 행함, 수행, 이행, 실행
amaliah	자비로운, 관대한, 자선의
aman, sentosa, damai	안전한, 평화로운, 고요한
aman dan sentosa	안녕한
aman daripada, terhindar daripada	~로부터 도피하다
aman sejahtera	평온한, 평안한
keamanan	안전, 치안, 평온, 무사
mengamankan	진정시키다, 평화를 회복하다, 넘겨주다
Polisi Negara telah mengamankan daerah ini	주 경찰은 이 지역의 안정을 회복시켰다
Kakak saya mengamankan harta bendanya kepada ibu	나의 형은 어머니에게 귀중품을 맡겼다
pasak aman	안전장치
pengaman	보호, 보호물, 달래는 사람, 조정자
pengamanan	강화, 화해
amanah, amanat	신탁통치, 메시지, 전갈, 위임
Amanat Agung, pesan Agung	지상명령
Amanat Penderitaan Rakyat	국민의 고난에 대한 메시지
beramanat	명령하다, 지령하다
mengamanarkan	지시하다, 헌신하다, 바치다, 위임하다
	(아버지는 그의 모든 재산을 재단에 헌납했다)
mengamanati	~을 충고하다, 말을 가르치다
amandal, amandel	편도선, 편도선염
amandemen [amandemén]	수정안, 동의
amandir	(의안 등을) 개정하다, (행실·잘못 등을) 고치다
amang [1]	으름, 위협, 도전, 반항
amangi	협박하다, 위협하다
amang [2]	(주석의)불순물
amar	명령, 지시
amaran	명령, 경고
mengamarkan	명령하다, 지령하다
amarah	노염, 화난, 분노, 격노
amat [1], sangat, sekali, terlampau	(형용사 앞에서)매우, 몹시
amat mahal	매우 비싼
Amat mendalam sakit hatinya	그의 마음의 상처가 몹시 깊은
Kapal itu amat besar	그 배는 매우 크다
amat [2], terlalu	(형용사 뒤에서)지나치게, 매우, 아주
tinggi amat	지나치게 높은
malas amat	지나치게 게으른
Gedung itu tinggi amat	그 산은 지나치게 높다
memperamat-amat(kan)	더욱 악화시키다, 강하게 하다
Taekwondonya makin diperamat-amatnya	태권도는 날로 강화된다
teramat	대단히, 매우, 몹시, 무척
amat [3], mengamat-amati	관찰하다, 감시하다
Potret itu diamat-amatnya	그는 사진을 자세히 들여다 보았다
Gerak-gerik pencuri itu selalu diamat-amati	그 도둑의 일거일동은 경찰에 의해 감시된다
mengamat-amat	가까이서 지켜보다
mengamati	~의 관습을 지키다
pengamat	관찰자, 검사관, 검열관
pengamat-amatan	감시, 감독
pengamatan	관리, 감독, 지휘, 감시
pengamatan pembaca	독자 조사
